category,title,ticketed,venue,blurb,link,socials,contributors,adw_presented,thu 8 oct,tue 13 oct,wed 14 oct,thu 15 oct,fri 16 oct,sat 17 oct,sun 18 oct
CONV,THE FRINGE CONDITION : EXTREME DESIGN,yes,"GGA Studio, ADL CBD","What does it mean to design for life at the fringe of human existence? The Fringe Condition is an exhibition and panel discussion exploring one of the most radical design briefs of our time, building for human life on the Moon, and what that means for communities here on Earth.",https://events.humanitix.com/the-fringe-condition,,Amit Srivastava; Albert Rajkumar; Meriem Allani; Souktik Bhattacherjee; Monika Stankiewicz; Kato Claeys; Kara Simpson,,,,,,,2pm - 4pm,
CONV,UNBUILT : MEET THE DESIGNERS,,"Hebart Hall, North Adelaide","> UNBUILT — Obstacles > Sunday 18 October 10am-11am > PARABOLICA × SSdH × LIAN × Office Alex Nicholls > Emerging practice and the forces that prevent architecture from making the transition from idea to building. > > UNBUILT — Remnants > Sunday 18 October 11am-12pm > OFFICE × A22a × Martina Beka > What remains after demolition, and how materials can be recovered, reinterpreted and given another use. > > UNBUILT — Speculation > Sunday 18 October 1pm-2pm > Trower Falvo × 877c × Moraene × Office Ren > Architecture untethered from the certainty of construction: propositions, competitions, provocations and ideas pursued for their own value. > > UNBUILT — Meanwhile > Sunday 18 October 2pm-3pm > Found Artefact Curators × Craft Architecture × Tusk > Temporary occupation, interim use and what buildings can become in the space between one permanent condition and another.",,,PARABOLICA × SSdH × LIAN × Office Alex Nicholls; OFFICE × A22a × Martina Beka; Trower Falvo × 877c × Moraene × Office Ren; Found Artefact Curators × Craft Architecture × Tusk,,,,,,,10am - 4pm,
CONV,YES YOU CAN DO A PHD,,"The Forum, Jeffrey Smart, ADL CBD",,,,,,,,,,12pm - 1pm,,
CONV,YOU'RE NOT FINISHED YET,,"The Forum, Jeffrey Smart, ADL CBD",,,,,,,,1pm - 2pm,,,,
TOUR,EVERY*BIKE TOUR,yes,"MEET: A PLACE coffee, Bowden","The Every*bike Tour is a casual cycling tour connecting ADW exhibitions, events, designers, studios, curators, makers, workshops, artists, galleries, places and people together by bike. Each stop along the way is a chance to meet, learn and discover an exciting and energised creative Adelaide! BYO Bike :)",https://www.mood.cx/adw2026,,Tim Grisbrook / MOOD,,,,,,,10am - 1pm,
TOUR,INSIDE INNOVATION : INSIDE QANTAS TOUR,,"Qantas Office, ADL CBD","Interior designers are invited to join us for a walk-through of Qantas’ newly opened Product Innovation Centre in Adelaide. The tour will be led by Concept CI, the interior designer behind the space, together with Klaro Industrial Design, who supplied the furniture. Together, they’ll take guests through key elements of the interior, design decisions and furniture solutions in an informal, conversational format.",,,Concept CI; Klaro Industrial Design; Qantas,,,,,,10am - 11am,,
TOUR,LISTENING WITH ARCHITECTURE,yes,"MEET: Jewels of Thought Records, Ebenezer Place CBD, ADL",What kinds of acoustic spaces does the architecture of our city offer us? How might these spaces ground us. How might they serve to expand our sense of self? Join artist and educator Tom Borgas on a guided listening experience of some of his favourite east-end pockets of sonic intensity.,https://events.humanitix.com/listening-with-architecture,,Tom Borgas,,,,,,,11am - 1pm,
TOUR,MODERNIST ADELAIDE WALKING TOUR,yes,"MEET: Faraway House, 21 Franklin Street, CBD, ADL","Adelaide's mid-century boom produced a revolution of modernist architecture most locals walk past without a glance. Stuart Symons' award-winning tours have drawn international acclaim and a devoted cult following, tracing how global design ideas took flight in Adelaide during the 1950s–70s. 'Jewel-like' – Kevin McCloud, Grand Designs",https://www.eventbrite.com.au/e/modernist-adelaide-walking-tour-18-oct-11am-tickets-1993988285639?aff=ebdsoporgprofile#location,,Stuart Symons,,,,,,,,11am - 12:30pm
TOUR,TORRENS RIVER CITY WALK,yes,"MEET: Sir Douglas Nicholls Bridge, CBD ADL","Walk the River Torrens like never before. Using an interactive mobile map, this guided walk reveals 150 years of urban design evolution. View archival photos of exact locations and see how GeoAI analyzed Adelaide's heritage landscape to track changes in infrastructure, vegetation, and public life.",https://events.humanitix.com/on-the-torrens-an-ai-urban-heritage-river-city-walk,,Mohamad Waheed Fareed Abdelfattah,,,,11am - 12pm,,,,
WORK,MAKE AN IMPRESSION : ARLON HALL / BILLIE JUSTICE THOMSON (all ages),,"The Studio, AGSA, ADL CBD","South Australian artists Arlon Hall and Billie Justice Thomson invite you to slow down and lose yourself inside a painting. Thomson's vibrant compositions draw on everyday objects, Australian imagery and familiar food and drink, evoking a quiet sense of nostalgia. Hall works across painting, drawing and sculpture, exploring the interplay of line, colour and form through moments of overlap and tension. Inspired by Monet to Matisse: Defying Tradition this Studio invites hands-on exploration of light, colour, line and shape to create your own abstract coloured, layered line drawing.",,,Arlon Hall and Billie Justice Thomson,,,,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm
WORK,THE DIGITAL PAUSE - Collage Evening,yes,"Being Studio, 27 Halifax St, CBD, ADL","Together with Klaro, we’re hosting an analogue collage night, The Digital Pause! Join us for a relaxed evening to unplug, unwind, and create your own vision board for the design practice you want to manifest. We’ll have magazines, fabric offcuts and catalogues on hand, plus some refreshments.",https://protect.checkpoint.com/v2/r04/___https://events.humanitix.com/the-digital-pause-collage-evening-with-klaro-industrial-design-and-being-studio___.Y3A0YTpiZWluZ3N0dWRpbzpjOm86Yzg3NmRiZGVlMjgwNGJjNTJlNzI0YWYxNDk2YWE1NGU6Nzo5OWQwOjE2M2YzMTAzOTYzMmU1YWFhZGNmYTA2ZTVlMGNiMjQ1NzRjMGI4NjUxZGZkNDUxMGYyMWE1ZjJmNDAzY2E1MGM6aDpUOkY,,Being Studio & Klaro Industrial Design,,,,,5:30pm - 8:30pm,,,
WORK,THREADING STORIES,yes,"The Mill, ADL CBD","Threading Stories is a community quilting workshop grounded in care, creativity and storytelling. This workshop allows participants to sew or embellish a shared quilt. Open to everyone from beginner to advanced sewers and storytellers, to printmakers, painters and mixed media creatives.",https://events.humanitix.com/threading-stories-workshop?h=lONuVDKOyvh9tpzhk6X-VEsZAWC1Bkh803A3eBo6zgY&t=1786689956027,,Stella Martino,,,,,,,11am - 2pm,
WORK,WAX CARVING : RING MAKING,yes,"Min Jewellery, g14 33 Pirie St, CBD, ADL","Wax carving ring making work shop. Work with wax and tools to design and shape your unique ring. Your wax design will be professionally cast, sanded, and finished by the instructor. In approximately two weeks, your completed sterling silver ring will be ready for you to collect",https://classbento.com.au/silver-ring-making-class-with-gemstones-wax-carving-adelaide,,,,,,6pm - 8pm,6pm - 8pm,6pm - 8pm,6pm - 8pm,6pm - 8pm
