category,title,ticketed,venue,blurb,link,socials,contributors,adw_presented,thu 8 oct,tue 13 oct,wed 14 oct,thu 15 oct,fri 16 oct,sat 17 oct,sun 18 oct
EXH,STARRY STARRY NIGHT,yes,"Liverpool Gallery, ADL CBD","We’re going off grid. Taking a breath to explore the romance, ritual, deliberate nature of lighting the humble candle. Whether it’s amidst a stormy blackout, the final touch on the dinner party you’ve slaved for or to help you unwind after another busy day, there is no doubting the charm of candlelight. (Plus, everyone looks better candlelit). Starry starry night is a multidisciplinary exhibition showcasing contemporary craft and design. Exploring soft deliberate lighting and the way it can shape individual and shared sensory experience.",http://events.humanitix.com/starrystarrynight-adw26,,Tickets and contributors to be released soon,,,,,1pm - 6pm,1pm - 6pm,1pm -6pm,
EXH,STEEL SKIN (performance),yes,"My Cloud Nine, ADL CBD","STEEL SKIN is an immersive Adelaide Design Week performance where artists Pierre Mukeba, James Geue (Discarded), Alix Kuijpers, Liam Somerville and more combine interactive sound, movement and visuals. Audiences are invited to interact, shaping an evolving sensory experience that blurs the boundaries between installation, live performance, participation and contemporary design.",https://events.humanitix.com/steel-skin,,Alix Kuijpers; Izabella Vozzo; Jack Green; James Geue; Liam Somerville; Pierre Mukeba,,,,,,6pm - 9pm,,
EXH,SUPER PARTY,yes,"Sans-Arc Studio, West Croydon","A super late, super party. In 2020, Bankston Architectural and Sans-Arc launched the Super Collection into lockdown. No party, no fanfare. Five years and four collaborations later we're finally throwing it, inside Sans-Arc's new West Croydon studio. The collection draws on the Radical Design Movement, so does the night. Part exhibition, part installation, part party. Hospitality presented with a Bankston + Sans-Arc touch. Touch points throughout, an experience in one way or another. Drinks, food, music, fun.",,,Sans-Arc Studio + Bankston Architectural,,,,,6pm - SUPER LATE,,,
EXH,TAC COLLECTION,,"Mixed Goods Studio, Kilkenny","""taC"" seating is a collaboration between brothers Andrew and Thomas Carvolth. Made locally in their studio, each piece is direct in form and generous in feel.",,,Thomas and Andrew Carvolth,,,,,,,,10am - 4pm
EXH,TO FEEL IN PLACE,,"Design by WBL, ADL CBD","Here the many pieces have a place. Here we find the comfort we crave. We inhibit many spaces, engage in many environments and interact with many people. But what does it mean to feel truly ‘In Place’? Join photographer and designer, Studio Philo in a photographical and written exploration of our environments and what it means to truly ‘belong’. Made possible by Atkins Lab and EmAGN SA.",,,Studio Philo In Collaboration with Atkins Lab,,,,,,,2pm - 6pm,
EXH,TOKEN,yes,Travelling between events!,"TOKEN / curated vending machine Travelling micro gallery & marketplace lucky dip celebrating the creativity, generosity and curiosity of our design community. Affordable, accessible and unexpected, TOKEN allows every*one to take home a small piece of Adelaide Design Week with all proceeds donated to Carlew.",,,80+ Designers; Makers + Creatives,,,,at 'SHORT NOTICE',at 'SHOP GENERATOR',,at 'BENCHED',
EXH,TOMORROW TALENT,,"Jam Factory, ADL CBD","Discover the next generation of designer/makers in an exhibition of work by the talented Associates across JamFactory’s Ceramics, Glass, Furniture and Jewellery/Metal Studios.",,,JamFactory Associates,,,,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm
EXH,TWO WAY,,"EST Studio, ADL CBD","Two-way is a collaborative exhibition, by a designer, jeweller, musician and a furniture maker, exploring the exchange between maker and material. The artworks are a result of attention, negotiation and participation rather than control. Two-way invites audiences to observe the conversations that occur through creative practice and our relationship with the material world.",,,Isabelle Byrne; Peter Fong; Emma Byrne; Will Young,,,,,5pm - 8pm,9.30am - 3.30pm,,
EXH,UNBUILT,yes,"Hebart Hall, North Adelaide","Unbuilt explores the tension between absence and presence within projects that were never built. Through immersive installations, projections, drawings, and models, audiences are invited into imagined environments that almost existed. Curated by EmAGN for Adelaide Design Week, the exhibition celebrates experimentation, ambition, and creative practice across disciplines.",https://members.architecture.com.au/EventDetail?EventKey=SA260813,,PARABOLICA - www.parabolica.au; SSdH - www.ssdh.studio; Moraene - www.moraene.au; Office Ren - www.officeren.com.au; Tusk Architecture - www.tuskarchitecture.com.au; Office Alex Nicholls - www.officealexnicholls.com; Craft Architecture - www.craft-arch.com.au; LIAN - www.lian.com.au; 877c - www.877c.net; Trower Falvo - www.trowerfalvo.com; Office MI-JI - www.mi-ji.com.au; Office Fora - www.officefora.com Exhibition lighting design by House of Vnholy - www.houseofvnholy.com; Exhibition scent design by Jesse Wakenshaw - www.jessewakenshawstudio.com; Opening night DJ Nick Gencarelli (Gencia) - www.instagram.com/gencia____,,,,,,7.30pm - 9.30pm,10am - 4pm,10am - 4pm
EXH,UNDER A BRIDGE,,"(Secret Location), ADL CBD","Jake Rollins presents Under a Bridge, a two-hour pop-up exhibition of new works specific to site. Adelaide location, bridge announced on the day.",,,Jake Rollins,,,,,,,10.30am - 12.30pm,
EXH,WASTE RECONSIDERED,yes,"Plant 3, Bowden","‘WASTE RECONSIDERED’ an exploration of beauty within the discarded. Flipping the concept of landfill waste to produce elegant usable forms, Rebecca and Rachel work with local businesses and industries to source abundant waste streams and the result.. ASTONISHING.. an aesthetic story within our homes, workplaces and dining experiences.",https://events.humanitix.com/waste-reconsidered-a-new-exhibition-for-adelaide-design-week,,Esse Bio Designs (Brand) / Something Special Concept Store (host) / Rebecca Hartman Kearns (Maker/Founder) / Rachel Mifsud (Designer/Founder),,,,10am - 8pm,10am - 8pm,10am - 8pm,10am - 8pm,10am - 8pm
